"RESOURCECLASS","RESOURCECLASS"
"Patristic texts -- England -- 6th-10th century period","text"
"Patristic texts -- England -- 6th-10th century periodScripture commentaries -- England -- 6th-10th century period","text"
"Patristic texts -- Italy -- 6th-10th century period","text"
"Periodicals",""
"PeriodicalsAnthologies",""
"Petitions",""
"Philosophical texts",""
"Philosophical texts -- Great Britain -- 18th century",""
"Philosophical texts -- Great Britain -- 19th century",""
"Philosophical works",""
"Phrase books",""
"PhysicalObject","physicalObject"
"Plays",""
"Plays -- England -- 17th century",""
"PlaysAnthologies",""
"PlaysAnthologiesLinguistic corpora",""
"Poems",""
"PoemsAnthologies",""
"PoemsDevotional literature",""
"Poetry",""
"Politics",""
"Poésie",""
"Primary_text",""
"Primers",""
"Printed serial",""
"Prière",""
"Protest literature",""
"Proverbs",""
"Publication en série imprimée",""
"Questionnaire grammatical",""
"Questionnaire or survey",""
"Questionnaires",""
"R-code",""
"Radio",""
"RDF",""
"Read",""
"ResourceBundle",""
"Romances",""
"RomancesLinguistic corpora",""
"Récit d'expériences vécues, conte",""
"Récit d'expériences vécues, conte, entretien",""
"Récit d'expériences vécues, conte, entretien, interaction entre pairs",""
"Récit d'expériences vécues, entretien",""
"Récit d'expériences vécues, interaction entre pairs",""
"Récit personnel",""
"Récitation",""
"Récits personnels",""
"Réunions",""
"Sacred texts","text"
"Sacred texts -- India -- B.C.","text"
"Sacred texts -- United States -- 19th century",""
"Satires",""
"Scores",""
"Scroll",""
"Serial",""
"Sermons",""
"Service",""
"Session",""
"Short stories",""
"Short stories, Italian -- 19th century",""
"Software","software"
"software, webservice",""
"Songs",""
"SongsAnthologiesLinguistic corpora",""
"SOUND","sound"
"Sound","audio"
"Sound data (recordings)",""
"Speech","speech"
"speech,corpus",""
"SpeechCorpus","speech;corpus"
"Spontaneous",""
"Starodruk",""
"Stary druk",""
"StillImage","image"
"structuredDataset",""
"Säännöt",""
"Séminaires (groupes de travail)",""
"Tablets",""
"Televisie",""
"Test Data",""
"TEXT","text"
"Text","text"
"Text collection",""
"TextAnnotation","text;annotation"
"Textbooks",""
"Textual corpus",""
"Textual data",""
"Tiedotteet",""
"Tijdschrift/serie",""
"Tool",""
"Tool service",""
"tool service",""
"Tools",""
"ToolService",""
"Tragedies",""
"Transcription","!"
"Transcription: IPA","!"
"Translation",""
"Travel literature","text"
"Treebank","text;annotation"
"Trilogue","!"
"Unknown","!"
"Utopian literature","text"
"Vedute","!"
"Verbundprojekt","!"
"Video","video"
"Virtual_manuscript","image;text;manuscript"
"Volume","!"
"Web application","web application"
"Web service","web service"
"WebService"," "web service""
"webservice",""
"Wordbooks","lexicalResource"
"WordList","lexicalResource"
"WordNet","lexicalResource"
"Written Corpus","text;corpus"
"WrittenCorpus","text;corpus"
"Xxx -- xxx -- xxx","!"
"Zemljevidi","image;map"
"Znanstveno časopisje","text"
