ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"Boston University","","","",2,1,"MPI corpora : Language and Cognition : Gesture Projects : Allen |2|"
"Bowling Green State University","","","",1,1,"COST elicitationdata |1|"
"Brigham Young University","","","",3,0,""
"Bruguera, Barcelona","","","",1,1,"CLARINO Bergen Centre |1|"
"Bulgarian Academy of Sciences","","","",2,2,"Clarino Bergen Centre - INESS |1| # Clarino UiB |1|"
"Bulgarische Akademie der Wissenschaften, Sofia, Bulgarien","","","",1,1,"Tübingen Language Resources |1|"
"Bundesminister für Bildung und Forschung, Germany","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Bundespresse- und Informationsamt","","","",1,1,"AGD |1|"
"Bureau ICE","","","",3,2,"CollBank |1| # TLA: DiscAn |2|"
"By og Byg","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"CEDDLA","","","",102,1,"DoBeS archive : Chaco languages |101|"
"CELD Manokwari","","","",14,1,"DoBeS archive : CELD Papua |14|"
"CELD UNIPA","","","",14,1,"DoBeS archive : CELD Papua |14|"
"CIESAS Mexico","","","",1,0,""
"CLARIN","","","",3,2,"CLARIN Virtual Collection Registry |1| # INT |2|"
"CLARIN Bergen","","","",1,1,"CLARINO UiB - Corpuscle |1|"
"CLARIN-D","","","",112,3,"Deutsches Textarchiv (1600–1900) |3| # Dingler Online |1| # Referenzkorpus Mittelhochdeutsch (1050–1350) |108|"
"CLARIN-D center, Natural Language Processing Group, University of Leipzig","","","",4550,2,"Leipzig Corpora Collection |4373| # WebLicht Webservice Orchestrator |177|"
"CLARINO Bergen Centre","","","",12,4,"CLARINO Bergen Centre |1| # CLARINO UiB - Corpuscle |7| # Clarino Bergen Centre - INESS |1|"
"CLS, Radboud Universiteit (formerly known as Katholieke Universiteit Nijmegen)","","","",2,1,"CollBank |2|"
"CLS, Radboud University","","","",98,3,"NEHOL |41| # SUCA |15| # Sign Language : Corpus NGT |1|"
"CLS, Radboud University Nijmegen","","","",1,1,"CollBank |1|"
"CLS-KUN","","","",3920,1,"MPI CGN |3920|"
"CLST, Radboud University","","","",2,1,"CollBank |2|"
"CLST, Radboud University Nijmegen","","","",1,1,"CollBank |1|"
"CMU","","","",1907,1,"TalkBank |1907|"
"CNR Edizioni","","","",1,1,"ILC4CLARIN : OPEN Data & Tools |1|"
"CNRS","","","",3,1,"MPI corpora : LexoBlock registry |3|"
"CNRS Laboratoire Dynamique du Langage, Universite Lumiere Lyon 2","","","",1,1,"DoBeS archive : Even |1|"
"CNRS Lattice Paris (F)","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"CNRS París Francia, IIAP Iquitos Perú","","","",134,1,"DoBeS archive : Gente del Centro - People of the Center |134|"
"CNRS, Université Lumière Lyon 2","","","",32,1,"DoBeS archive : Even |32|"
"CONICET - Universidad de Buenos Aires","","","",52,1,"DoBeS archive : Chaco languages |52|"
"CONICET- Universidad Nacional de Formosa","","","",20,1,"DoBeS archive : Chaco languages |20|"
"CONICET- Universidad de Formosa","","","",3,1,"DoBeS archive : Chaco languages |3|"
"CONICET-Universidad de Buenos Aires","","","",1,1,"DoBeS archive : Chaco languages |1|"
"CPDP","","","",25,2,"DoBeS archive : Chintang and Puma Documentation Project |24| # MPI corpora : Language and Cognition : southasia : Chintang : Dirksmeyer |1|"
"CSC - IT Center for Science","","","",5,0,""
"CSC - Tieteen tietotekniikan keskus Oy","","","",16,0,""
"CSC — IT Center for Science Ltd","","","",16,0,""
"Cappelen","","","",1,1,"CLARINO Bergen Centre |1|"
"Carlsberg","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Carnegie Mellon University","","","",5470,1,"TalkBank |5470|"
"Catholic University of Leuven (K.U.Leuven)","","","",1,1,"INT |1|"
"Center for Endagered Languages Documentation","","","",1,1,"DoBeS archive : CELD Papua |1|"
"Center for Endangered Langguages Documentation","","","",1,1,"DoBeS archive : CELD Papua |1|"
"Center for Endangered Languages Documentation","","","",98,1,"DoBeS archive : CELD Papua |98|"
"Center for Endangered Languages Documentation, Universitas Negeri Papua","","","",238,1,"DoBeS archive : Wooi |238|"
"Center for Endangered Languages Documentation, Universtitas Negeri Papua","","","",22,1,"DoBeS archive : CELD Papua |22|"
"Center for Information and Language Processing, University of Munich","","","",2,1,"LRT + Open Submissions Data & Tools |2|"
"Center for det Maritime Sundhedsvæsen, Søfartsstyrelsen","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Centre National de la Recherche Scientifique","","","",127,2,"DoBeS archive : Gente del Centro - People of the Center |126| # IMS, CLARIN-D Centre, University of Stuttgart |1|"
"Centre Territorial de Recherche et de Documentation Pédagogiques (CTRDP)","","","",134,1,"DoBeS archive : Marquesan team |134|"
"Centre for Applied Language Studies","","","",1,0,""
"Centre for Deaf Studies, University of Bristol / Department of Language and Communication Science, City University (London)","","","",8,2,"ECHO |3| # Sign Language : ECHO - Sign Language |5|"
"Centre for Language Resources and Technologies, University of Ljubljana","","","",16,1,"CLARIN.SI data & tools |16|"
"Centre for Language Studies, Radboud University Nijmegen","","","",34,2,"Sign Language : Visibase |32| # TLA: IPROSLA sign language acquisition |2|"
"Centre for Language Studies, Radboud University Nijmegen & Max Planck Institute for Psycholinguistics","","","",1,1,"MPI corpora : Comprehension : Ernestus and Cutler |1|"
"Centre for Language Technology, NorS, University of Copenhagen","","","",17,1,"CLARIN-DK-UCPH Repository |17|"
